Name	Hannah	Andy
Anthony	0	0
Nicholas	0	0
Nathan	0	0
Jose	0	0
Alexander	0	0
Ryan	0	0
Tyler	0	0
Justin	0	0
Ethan	0	0
Logan	0	0
Zachary	0	0
Dylan	0	0
Juan	0	0
Brian	0	0
Kyle	0	0
Austin	0	0
Eric	0	0
Lucas	0	0
Sean	0	0
Theodore	0	0
Scott	0	0
Mark	0	0
Luis	0	0
Cameron	0	0
Evan	0	0
Jeffrey	0	0
Carlos	0	0
Caleb	0	0
Jackson	0	0
Timothy	0	0
Kenneth	0	0
Jesse	0	0
Steven	0	0
Liam	1	0
Julian	0	0
Adrian	0	0
Nathaniel	0	0
Jeremy	0	0
Leo	1	0
Patrick	0	0
Gregory	0	0
Victor	0	0
Jayden	0	0
Charlie	0	0
Travis	0	0
Cody	0	0
Gary	0	0
Alex	0	0
Hunter	0	0
Owen	0	0
Antonio	0	0
Aiden	0	0
Douglas	0	0
Connor	0	0
Blake	0	0
Bradley	0	0
Oscar	1	0
Dennis	0	
Carl	1	0
Terry	0	0
Dominic	0	0
Carter	0	0
Manuel	0	0
Wyatt	0	1
Miguel	0	0
Keith	0	0
Gavin	0	0
Derek	0	0
Jared	0	0
Sebastian	0	0
Chase	0	0
Lawrence	0	0
Roger	0	0
Vincent	0	0
Bruce	0	0
Russell	0	0
Marcus	0	0
Landon	0	0
Martin	1	0
Alan	1	0
Phillip	0	0
Dustin	0	0
Corey	0	0
Randy	0	0
Todd	0	0
Craig	0	0
Edgar	0	0
Devin	0	0
Chad	0	0
Dale	0	0
Wesley	0	0
Trevor	0	0
Mitchell	0	0
Stanley	0	0
Curtis	0	0
Xavier	0	0
Rodney	0	0
Danny	0	0
Parker	0	0
Carson	0	0
Glenn	0	0
Colton	0	0
Tony	0	0
Troy	0	0
Eli	1	0
Cole	0	0
Jorge	0	0
Ivan	1	0
Ricardo	0	0
Everett	0	0
Shane	0	0
Brett	0	0
Alejandro	0	0
Jeffery	0	0
Steve	0	0
Josiah	0	0
Brayden	0	0
Colin	1	0
Frederick	0	0
Clayton	0	0
Garrett	0	0
Jake	0	0
Ricky	0	0
Preston	0	0
Francisco	0	0
Nolan	0	0
Mike	0	0
Grant	0	0
Spencer	0	0
Randall	0	0
Aidan	0	0
Diego	0	0
Bryce	0	0
Jay	0	0
Cory	0	0
Mario	0	0
Maxwell	0	0
Barry	0	0
Tristan	0	0
Hector	0	0
Dean	0	0
Omar	0	0
Eduardo	0	0
Fernando	0	0
Cooper	0	0
Chris	0	0
Miles	0	0
Ruben	0	1
Damian	0	0
Grayson	0	1
Javier	0	0
Brady	0	0
Elias	0	0
Roberto	0	0
Brent	0	0
Jaden	0	0
Darrell	0	0
Jaxon	0	0
Tanner	0	0
Andres	0	0
Jim	0	0
Jerome	0	0
Harrison	0	0
Brendan	0	0
Pedro	0	0
Dallas	0	0
Felix	1	1
Andre	0	0
Angelo	0	0
Tom	0	0
Gordon	0	0
Rafael	0	0
Ayden	0	0
Kaleb	0	0
Emmanuel	0	0
Raul	0	0
Dalton	0	0
Lorenzo	0	0
Clinton	0	0
Drew	1	0
Jace	0	0
Lincoln	0	1
Giovanni	0	0
Jeff	0	0
Cesar	0	0
Bryson	0	0
Marco	0	0
Lance	0	0
Brody	0	0
Hudson	0	1
Santiago	0	0
Collin	1	0
Duane	0	0
Reginald	0	0
Sergio	0	0
Armando	0	0
Darren	0	0
Ross	0	0
Ramon	0	0
Cristian	0	0
Asher	0	0
Dan	0	0
Israel	0	0
Emmett	0	0
Kayden	0	0
Caden	0	0
Mateo	0	0
Kaden	0	0
Sawyer	0	0
Trenton	0	0
Kurt	0	0
Gage	0	0
Easton	0	0
Elliott	0	0
Guy	0	0
Tyrone	0	0
August	0	1
Donovan	0	0
Enrique	0	0
Malcolm	0	0
Leland	0	0
Arturo	1	1
Byron	0	0
Tim	0	0
Brad	0	0
Zane	0	0
Alberto	0	0
Braxton	0	0
Julio	0	0
Colby	0	0
Silas	0	0
Clifton	0	0
Weston	0	1
Rick	0	0
Kai	1	0
Camden	0	0
Josue	0	0
Wade	0	0
Greg	0	0
Perry	0	0
Bentley	0	0
Ryder	0	0
Gerardo	0	0
Jaxson	0	0
Damon	0	0
Alfredo	0	0
Nelson	0	0
Clark	0	0
Grady	0	0
Trent	0	0
Alec	0	1
Ted	1	0
Dwight	0	0
Marcos	0	0
Jasper	0	0
Graham	0	0
Bennett	0	0
Darius	0	0
Kent	0	0
Kirk	0	0
Stuart	0	0
Alonzo	0	0
Ty	0	0
Axel	0	0
Terrence	0	0
Forrest	0	0
Chance	0	0
Pablo	0	0
Tucker	0	0
Braden	0	0
Emilio	0	0
Bryant	0	0
Tyson	0	0
Griffin	0	1
Lane	0	1
Dave	0	0
Salvador	0	0
Donnie	0	0
Ernesto	0	0
Rickey	0	0
Dante	0	0
Beau	0	0
Orlando	0	0
Joey	0	0
Kaiden	0	0
Malik	0	0
Brock	0	0
Fabian	0	0
Chandler	0	0
Jameson	0	0
Gerard	0	0
Kameron	0	0
Declan	0	1
Jaylen	0	0
Quentin	0	0
Keegan	0	0
Greyson	0	1
Rex	0	0
Corbin	0	0
Zion	0	0
Sterling	0	0
Roderick	0	0
Maddox	0	0
Jalen	0	0
Dawson	0	0
Kenny	0	0
Ismael	0	0
Nickolas	0	0
Kelvin	0	0
Alfonso	0	0
Trey	0	0
Cayden	0	0
Gustavo	0	0
Reid	0	0
Nick	0	0
Lukas	0	0
Amir	0	0
Rudy	0	0
Dexter	0	0
